"species_scientific"
"Linaria dalmatica"
"Linaria maroccana"
"Lindernia dubia"
"Lipocarpha aristulata"
"Lipocarpha micrantha"
"Lipocarpha occidentalis"
"Liquidambar styraciflua"
"Lithophragma bolanderi"
"Lithophragma heterophyllum"
"Lobelia cardinalis"
"Logfia gallica"
"Lolium arundinaceum"
"Lolium multiflorum"
"Lolium perenne"
"Lolium temulentum"
"Lomatium caruifolium"
"Lomatium marginatum"
"Lomatium nudicaule"
"Lomatium utriculatum"
"Lonicera interrupta"
"Lotus corniculatus"
"Lotus micranthus"
"Lotus purshianus"
"Lotus strigosus"
"Lotus wrangelianus"
"Ludwigia palustris"
"Ludwigia peploides"
"Luffa acutangula"
"Lupinus albicaulis"
"Lupinus albifrons"
"Lupinus arboreus"
"Lupinus benthamii"
"Lupinus bicolor"
"Lupinus chamissonis"
"Lupinus densiflorus"
"Lupinus formosus"
"Lupinus microcarpus"
"Lupinus nanus"
"Lupinus ornatus"
"Lupinus pachylobus"
"Lupinus polycarpus"
"Lupinus sericeus"
"Lupinus succulentus"
"Lupinus vallicola"
"Luzula comosa"
"Lycium chinense"
"Lycopus americanus"
"Lysimachia arvensis"
"Lythrum hyssopifolia"
"Lythrum hyssopifolium"
"Lythrum portula"
"Lythrum tribracteatum"
"Macfadyena unguis-cati"
"Maclura pomifera"
"Madia anomala"
"Madia citriodora"
"Madia elegans"
"Madia exigua"
"Madia gracilis"
"Madia sativa"
"Madia subspicata"
"Maianthemum racemosum"
"Malacothrix coulteri"
"Malacothrix floccifera"
"Malva nicaeensis"
"Malva parviflora"
"Malva pseudolavatera"
"Malvella leprosa"
"Manihot esculenta"
"Marah fabacea"
"Marrubium vulgare"
"Marsilea vestita"
"Matricaria discoidea"
"Matricaria matricarioides"
"Matricaria occidentalis"
"Mauranthemum paludosum"
"Meconella californica"
"Meconella denticulata"
"Medicago arabica"
"Medicago lupulina"
"Medicago polymorpha"
"Medicago sativa"
"Melica bulbosa"
"Melica californica"
"Melica harfordii"
"Melica torreyana"
"Melilotus albus"
"Melilotus indicus"
"Melilotus officinalis"
"Mentha arvensis"
"Mentha canadensis"
"Mentha pulegium"
"Mentha spicata"
"Mentzelia laevicaulis"
"Metasequoia glyptostroboides"
"Michelia doltsopa"
"Micranthes nidifica"
"Micropus californicus"
"Microseris acuminata"
"Microseris douglasii"
"Microsteris gracilis"
"Mimetanthe pilosa"
"Mimosa pudica"
"Mimulus brevipes"
"Mimulus cardinalis"
"Mimulus guttatus"
"Mimulus tricolor"
"Minuartia californica"
"Misopates orontium"
"Modiola caroliniana"
"Mollugo verticillata"
"Momordica charantia"
"Monardella sheltonii"
"Monardella villosa"
"Montia fontana"
"Muhlenbergia rigens"
"Muhlenbergia schreberi"
"Myosotis discolor"
"Myosotis laxa"
"Myosurus minimus"
"Myriophyllum spicatum"
"Nassella cernua"
"Nassella lepida"
"Nassella pulchra"
"Nasturtium officinale"
"Navarretia eriocephala"
"Navarretia heterandra"
"Navarretia intertexta"
"Navarretia leucocephala"
"Navarretia myersii"
"Navarretia pubescens"
"Navarretia squarrosa"
"Navarretia tagetina"
"Nemacladus longiflorus"
"Nemophila heterophylla"
"Nemophila maculata"
"Nemophila menziesii"
"Nerium oleander"
"Nicotiana acuminata"
"Nicotiana attenuata"
"Nicotiana glauca"
"Nicotiana quadrivalvis"
"Nitrophila occidentalis"
"Nuttallanthus texanus"
"Ocimum basilicum"
"Odontostomum hartwegii"
"Oenanthe sarmentosa"
"Oenothera biennis"
"Oenothera deltoides"
"Oenothera elata"
"Oenothera sinuosa"
"Oenothera speciosa"
"Oenothera villosa"
"Olea europaea"
"Opuntia basilaris"
"Orcuttia californica"
"Orcuttia tenuis"
"Orcuttia viscida"
"Orobanche californica"
"Orobanche ramosa"
"Orthotrichum lyellii"
"Oryza sativa"
"Oxalis articulata"
"Oxalis corniculata"
"Oxalis corymbosa"
"Oxalis pilosa"
"Oxalis radicosa"
"Panicum acuminatum"
"Panicum capillare"
"Panicum dichotomiflorum"
"Panicum hillmanii"
"Panicum miliaceum"
"Panicum rigidulum"
"Panicum virgatum"
"Papaver hybridum"
"Parentucellia viscosa"
"Paspalum dilatatum"
"Paspalum distichum"
"Paspalum notatum"
"Paspalum urvillei"
"Pastinaca sativa"
"Pectocarya penicillata"
"Pectocarya pusilla"
"Pediomelum humile"
"Pennisetum glaucum"
"Pennisetum massaicum"
"Pennisetum orientale"
"Pennisetum petiolare"
"Pennisetum setaceum"
"Penstemon fruticosus"
"Pentachaeta exilis"
"Pentagramma triangularis"
"Perideridia kelloggii"
"Perilla frutescens"
"Persea americana"
"Persicaria amphibia"
"Persicaria hydropiper"
"Persicaria hydropiperoides"
"Persicaria lapathifolia"
